,user_id,operation_value,operation_date,maplocation_name,user_createddate
0,0e52d550-ae23-407a-9b1f-6e5fb1f066ab,273850.0,2022-01-14 13:07:56,CC Plaza de las Américas  - Plaza Mariposa,2022-01-09 19:23:18.332689
1,975ed41e-d891-4c23-aeba-06363019d8e3,900.0,2022-02-06 13:11:25,CC Plaza de las Américas  - Plaza Mariposa,2022-01-10 15:19:29.419075
2,f9043545-dfc2-402f-a8c7-0a61f21cb719,1800.0,2022-02-23 14:01:56,Universidad de los Andes - ML Piso 5,2021-08-25 12:44:48.524941
3,979ca8ad-9600-4a1f-81e9-e70c2f55cdc5,6500.0,2021-12-16 12:09:45,CC Plaza de las Américas  - Plaza Mariposa,2021-07-17 17:11:16.766291
4,171db06e-2e4b-4542-a9c9-32028520fda4,150000.0,2022-01-25 12:00:18,CC Plaza de las Américas  - Plaza Mariposa,2022-01-11 15:59:27.651994
5,68f0d708-7c25-4ee1-a050-9535a1e27cec,500.0,2022-01-29 19:17:57,CC Plaza de las Américas  - Plaza Mariposa,2020-01-27 19:15:50.498342
6,9fe4047c-e718-4da6-8fd5-080f46fc2e2f,142200.0,2022-02-14 13:47:58,CC Plaza de las Américas  - Plaza Mariposa,2022-01-30 16:54:03.447831
7,8390c931-02f8-4a59-924b-5299306af556,10600.0,2021-12-26 14:01:37,CC Los Molinos - Zona Montaña Nivel 2,2021-12-08 18:39:34.167058
8,55673f7a-b124-4714-af97-ebe79df1fbac,6000.0,2022-01-27 14:31:17,CC Los Molinos - Zona Montaña Nivel 2,2022-01-25 09:48:56.329749
9,6c1943a9-6365-4ae6-bb5f-fb5615325df3,3900.0,2022-02-01 06:20:18,Universidad de los Andes - ML Piso 5,2020-02-06 10:07:53.090618
10,e7bff5a9-14d0-4e58-ac7a-d798507776ce,10750.0,2022-02-18 16:24:19,CC Los Molinos - Zona Montaña Nivel 2,2021-12-10 13:40:04.723180
11,851d5a3d-8186-4676-bdb4-b1cda940538b,3700.0,2022-02-20 11:42:42,CC Los Molinos - Zona Montaña Nivel 2,2021-09-03 12:43:18.400476
12,175553f8-0c8f-473d-a9e6-c6cba4bff769,2000.0,2022-02-19 13:32:58,CC Plaza de las Américas  - Plaza Mariposa,2021-11-22 23:33:48.425075
13,0c85e0ef-1ebe-4cf6-a186-736c710399e8,6750.0,2022-02-17 06:46:45,CC Plaza de las Américas  - Plaza Mariposa,2021-09-15 15:35:18.850742
14,955cf99c-253b-4591-a391-9b6062d41975,5000.0,2022-02-10 11:22:50,Universidad de los Andes - ML Piso 5,2021-08-09 15:00:13.092437
15,811802ed-c2ee-4be2-9464-d6ecfb573206,89150.0,2021-12-16 14:33:38,CC Los Molinos - Zona Montaña Nivel 2,2021-12-10 12:34:43.336925
16,b88c1107-1d71-4782-bcc9-285877d89b1a,181300.0,2021-11-29 11:53:10,CC Plaza de las Américas  - Plaza Mariposa,2021-03-11 19:52:44.338879
17,d3b7f234-ea26-4b4e-b888-b689d20298be,151450.0,2022-02-22 11:39:37,CC Plaza de las Américas  - Plaza Mariposa,2022-02-16 11:34:16.910342
18,970cb0ff-1243-4066-8eae-22174f1a5e1d,4600.0,2022-02-20 10:23:30,CC Los Molinos - Zona Montaña Nivel 2,2022-01-21 14:53:44.348448
19,78039346-1b00-4ebf-8e04-01b4a39b24b5,7800.0,2022-01-29 10:55:20,Universidad de los Andes - ML Piso 5,2019-08-28 11:43:12.967952
20,c132a498-4d01-4f86-bfaa-9fc73a7bf098,20100.0,2021-12-18 17:38:00,CC Los Molinos - Zona Montaña Nivel 2,2021-12-15 21:13:01.991694
21,fe6520d8-569d-425a-964e-beed8569ed13,1600.0,2022-02-10 15:35:19,Universidad de los Andes - ML Piso 5,2020-08-19 17:18:02.960484
22,fa812c8a-65f6-40f7-ade5-e44b990bda99,9200.0,2022-01-06 11:38:24,CC Los Molinos - Zona Montaña Nivel 2,2022-01-04 18:27:32.188785
23,44435a85-4d17-4a04-ab09-42da78d9ba88,3800.0,2022-02-19 17:38:13,CC Los Molinos - Zona Montaña Nivel 2,2021-05-05 15:54:54.761904
24,c4cc4c4e-b360-45af-8749-ccd3c05cff88,50.0,2022-01-29 18:32:36,CC Los Molinos - Zona Montaña Nivel 2,2021-09-27 12:24:40.651370
25,2e31bffe-ea66-44ec-8647-56d0fbab0516,14000.0,2021-12-09 14:53:19,CC Plaza de las Américas  - Plaza Mariposa,2021-11-09 23:56:05.033223
26,660dd976-0246-4259-9349-4e77f139e9fd,28750.0,2022-02-14 18:50:04,CC Plaza de las Américas  - Plaza Mariposa,2021-07-17 15:00:00.450049
27,6c1fa3be-afac-4d92-89d7-89637526c62d,16750.0,2022-02-03 15:48:03,CC Plaza de las Américas  - Plaza Mariposa,2021-12-19 17:01:22.301822
28,52c6bb26-99a9-41b5-8b2d-cc7b35be1a71,50.0,2022-01-21 19:19:11,CC Los Molinos - Zona Montaña Nivel 2,2022-01-21 17:58:41.499756
29,22f81930-f03c-4a1e-8236-2b88e38388bb,1500.0,2022-02-06 19:32:14,CC Los Molinos - Zona Montaña Nivel 2,2021-01-27 19:12:20.002448
30,71122d96-5803-4e35-995d-c10f589fa2ed,800.0,2022-01-20 13:50:58,Universidad de los Andes - ML Piso 5,2021-11-04 11:22:06.745152
31,c82a388c-b06b-4bd4-882c-faa5d776d325,1000.0,2022-01-22 12:25:43,CC Plaza de las Américas  - Plaza Mariposa,2021-12-20 12:25:03.529350
32,0072157e-a634-4cb3-bead-b1a2981485ca,33350.0,2022-02-05 11:26:26,CC Los Molinos - Zona Montaña Nivel 2,2022-01-13 10:49:48.700580
33,5d06eab4-4aee-4d4e-8acf-4aec0348d648,10500.0,2022-02-11 16:58:45,CC Los Molinos - Zona Montaña Nivel 2,2022-02-11 16:54:04.999767
34,b709fc54-9613-4bf6-87a9-5015f8daf866,3300.0,2022-02-09 11:45:59,CC Los Molinos - Zona Montaña Nivel 2,2022-01-29 11:48:35.458086
35,e3c42b84-59d3-43a5-b875-cf40d0edce05,41850.0,2021-12-16 16:35:53,CC Los Molinos - Zona Montaña Nivel 2,2021-12-12 19:41:07.099184
